Flight#:string, Date:string, Reg:string, From:string, To:string, PIC:number, Type:string, Landings:number, Aprcs:number, Comment:string, Dual:number, ActI:number, SimI:number, Sim:number, Type:1:string, Class:string, Tailwheel:string, Turbine:string
1763704403072,2025/11/20,N4242G,KPAE,KPAE,1.5,8KCAB,7,0,"coffee, T&G's at BVS",0,0,0,0,8KCAB,SEL,1,0
1761888640101,2025/10/30,N248JP,FYWH,FYWE,0.3,C208,1,0,,0,0,0,0,C208,SEL,0,1
1761888619317,2025/10/30,N248JP,FYWE,FYWH,0.3,C208,1,0,"denied entry at FYWE, fly to FYWH to stamp passports",0,0,0,0,C208,SEL,0,1
1761888559181,2025/10/30,N248JP,FLHN,FYWE,3.5,C208,1,0,no landing permission in South Africa!,0,0,0,0,C208,SEL,0,1
1761888486704,2025/10/30,N248JP,FLPL,FLHN,1.3,C208,1,0,,0,0,0,0,C208,SEL,0,1
1761736039185,2025/10/27,N248JP,FLKK,FLPL,1.3,C208,1,0,,0,0,0,0,C208,SEL,0,1
1761736008462,2025/10/27,N248JP,HTGW,FLKK,3,C208,1,0,,0,0,0,0,C208,SEL,0,1
1761735980340,2025/10/26,N248JP,HTML,HTGW,2,C208,1,0,climb out down the lake,0,0,0,0,C208,SEL,0,1
1761448692398,2025/10/23,N248JP,HTDO,HTML,2.2,C208,1,0,,0,0,0,0,C208,SEL,0,1
1761448664962,2025/10/23,N248JP,HTWB,HTDO,1.3,C208,1,0,,0,0,0,0,C208,SEL,0,1
1761157974025,2025/10/20,N248JP,HTKJ,HTWB,1,C208,1,0,,0,0,0,0,C208,SEL,0,1
1761157949094,2025/10/20,N248JP,HKNW,HTKJ,1,C208,1,0,,0,0,0,0,C208,SEL,0,1
1760794317539,2025/10/18,N248JP,HKNL,HKNW,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1760274907814,2025/10/12,N248JP,HKNW,HKNL,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1760191039166,2025/10/11,N248JP,HTKJ,HKNW,1,C208,1,0,,0,0,0,0,C208,SEL,0,1
1760191010797,2025/10/11,N248JP,HTMR,HTKJ,1.9,C208,1,0,,0,0,0,0,C208,SEL,0,1
1760190958953,2025/10/09,N248JP,HTGW,HTMR,1,C208,1,0,,0,0,0,0,C208,SEL,0,1
1760190913843,2025/10/08,N248JP,FVRG,HTGW,3.5,C208,1,0,,0,0,0,0,C208,SEL,0,1
1760190877153,2025/10/08,N248JP,FVDV,FVRG,1,C208,1,0,close call with N717MZ,0,0,0,0,C208,SEL,0,1
1760190763917,2025/10/06,N248JP,FVJN,FVDV,1.4,C208,1,0,landed at twilight,0,0,0,0,C208,SEL,0,1
1758674164818,2025/09/23,N824MZ,KHLN,KBFI,2,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1758674141234,2025/09/23,N824MZ,KPIR,KHLN,2.5,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1758674119674,2025/09/23,N824MZ,KCID,KPIR,2,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1758576229243,2025/09/22,N824MZ,KPWK,KCID,1.1,AEST,1,1,CID ILS-27,0,0.4,0,0,AEST,MEL,0,0
1758576366590,2025/09/18,N824MZ,KCHT,KPWK,1.7,AEST,1,0,"deviate east owing to clouds, rain",0,0,0,0,AEST,MEL,0,0
1758576314711,2025/09/18,N824MZ,KBKX,KCHT,1.7,AEST,1,0,"low clouds, rain",0,0,0,0,AEST,MEL,0,0
1758576276694,2025/09/17,N824MZ,KDLT,KBKX,1.2,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1758066475176,2025/09/16,N824MZ,KBIS,KDTL,1,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1758066450816,2025/09/16,N824MZ,KCOE,KBIS,3,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1758066411136,2025/09/15,N4242G,KPAE,KPAE,0.7,8KCAB,3,0,,0,0,0,0,8KCAB,SEL,1,0
1756738313966,2025/08/27,N824MZ,KBFI,KCOE,1.4,AEST,1,0,"IFR to COE, light ice at FL190",0,0.5,0,0,AEST,MEL,0,0
1756738225393,2025/08/27,N824MZ,KBFI,KBFI,0.5,AEST,1,0,"depart BFI for COE, turn back owing to clouds",0,0,0,0,AEST,MEL,0,0
1756100261928,2025/08/24,N824MZ,CYYJ,KBFI,1,AEST,2,0,clear customs at BLI,0,0,0,0,AEST,MEL,0,0
1756100224393,2025/08/24,N824MZ,KBFI,CYYJ,0.6,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1755581398499,2025/08/18,N824MZ,KGEG,KBFI,1.3,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1755581373997,2025/08/18,N824MZ,KBFI,KGEG,1.2,AEST,1,0,,0,0.2,0,0,AEST,MEL,0,0
1753597086978,2025/07/26,N824MZ,KBFI,KBFI,1,AEST,2,0,"PWT ILS20 AutoP, Stop at PAE, PWT ILS20 HandF",0,0,0,0,AEST,MEL,0,0
1752770185321,2025/07/16,N4242G,KPAE,KPAE,1,8KCAB,1,0,"stop at BVS, steep turns",0,0,0,0,8KCAB,SEL,1,0
1752553446510,2025/07/14,N4242G,KPAE,KAPE,0.5,8KCAB,1,0,flight with Rhys,0,0,0,0,8KCAB,SEL,1,0
1751304980130,2025/06/29,N824MZ,KSTS,KBFI,2.5,AEST,1,0,,0,0,0,0,AEST,MEL,0,0
1751304951314,2025/06/28,N824MZ,KBFI,KSTS,2.5,AEST,1,0,"IFR to Santa Rosa, Bret's B'Day",0,0.1,0,0,AEST,MEL,0,0
1749416032151,2025/06/08,N4242G,KPAE,KPAE,1,8KCAB,2,0,stop and refuel at BVS. Bakery closed!,0,0,0,0,8KCAB,SEL,1,0
1749230992388,2025/06/06,N4242G,KPAE,KPAE,0.8,8KCAB,2,0,"stop at BVS, checked out Sentry Plus w. iPAD",0,0,0,0,8KCAB,SEL,1,0
1748648555013,2025/05/30,N4242G,KPAE,KPAE,1,8KCAB,5,0,stop at BVS for a Cream Puff!,0,0,0,0,8KCAB,SEL,1,0
1747976212018,2025/05/22,N4242G,KPAE,KPAE,1.3,8KCAB,1,0,"S&G at 3W5, Steep Turns, Slow flight, Barrel rolls",0,0,0,0,8KCAB,SEL,1,0
1746947724612,2025/05/10,N248JP,FASI,FASI,1.2,C208,1,0,"Annual training w. J. van Zyl. Land at FAGM, The Coves",0,0,0,0,C208,SEL,0,1
1746861099837,2025/05/09,N248JP,FACT,FASI,4.2,C208,1,0,"IFR out of FACT, lots of lessons on how to file via FF",0,0.4,0,0,C208,SEL,0,1
1746639936321,2025/05/07,N248JP,FYWE,FACT,4.2,C208,1,0,"flight plan issues, overfly Hakkiesdoorn",0,0,0,0,C208,SEL,0,1
1746639894517,2025/05/07,N248JP,FYSO,FYWE,0.8,C208,1,0,,0,0,0,0,C208,SEL,0,1
1746447206035,2025/05/04,N248JP,FYWE,FYSO,0.7,C208,1,0,,0,0,0,0,C208,SEL,0,1
1746447063772,2025/05/04,N248JP,FYAS,FYWE,1.5,C208,1,0,,0,0,0,0,C208,SEL,0,1
1746447048415,2025/05/03,N248JP,FYLZ,FYAS,0.7,C208,1,0,,0,0,0,0,C208,SEL,0,1
1746447008356,2025/05/01,N248JP,FYOG,FYLZ,1,C208,1,0,low level along the coast,0,0,0,0,C208,SEL,0,1
1746446878258,2025/04/27,N248JP,FY1F,FYOG,1,C208,1,0,followed orange river,0,0,0,0,C208,SEL,0,1
1746446810443,2025/04/25,N248JP,FYWE,FY1F,2.3,C208,1,0,Dest. Hakkiesdoorn,0,0,0,0,C208,SEL,0,1
1744239807599,2025/04/09,N4242G,pae,pae,0.9,8KCAB,1,0,coffee and call at KBVS,0,0,0,0,8KCAB,SEL,1,0
1743967705051,2025/04/05,N824MZ,KBFI,KBFI,1.2,AEST,1,0,"BVS-RNAV29, stop at BVS",0,0,0,0,AEST,MEL,0,0
1743616520797,2025/04/01,N4242G,KPAE,KPAE,1.3,8KCAB,2,0,to/from KSHN,0,0,0,0,8KCAB,SEL,1,0
1740723956686,2025/02/27,N4242G,KPAE,KPAE,1.2,8KCAB,7,0,"lunch at KBVS, T&G's at AWO, Stall, Slow, Steep Turns",0,0,0,0,8KCAB,SEL,1,0
1739504366968,2025/02/12,N4242G,pae,pae,1.5,8KCAB,2,0,"beautiful views of Baker, stop at KBVS",0,0,0,0,8KCAB,SEL,1,0
1737688109520,2025/01/23,N4242G,KPAE,KPAE,1.6,8KCAB,2,0,stop at 3W5,0,0,0,0,8KCAB,SEL,1,0
1736289059058,2025/01/06,N824MZ,KBFI,KCOE,1.4,AEST,1,1,COE RNaV-06,0,0.2,0,0,AEST,MEL,0,0
1735854031220,2025/01/01,N4242G,KPAE,KPAE,0.8,8KCAB,1,0,Rhys onboard!,0,0,0,0,8KCAB,SEL,1,0
1735853970707,2024/12/31,N824MZ,KBFI,KBFI,1,AEST,1,0,"practice PWT ILS-20, Hold at Carro",0,0,0,0,AEST,MEL,0,0
