Date,Reg,From,To,PIC:number,Type,Landings:number,Aprcs:number,Comment,Dual:number,ActI:number,SimI:number,Sim:number,
11/20/2025,N4242G,KPAE,KPAE,1.5,8KCAB,7,0,"coffee, T&G's at BVS",0,0,0,0,0
10/30/2025,N248JP,FYWH,FYWE,0.3,C208,1,0,,0,0,0,0,0
10/30/2025,N248JP,FYWE,FYWH,0.3,C208,1,0,"denied entry at FYWE, fly to FYWH to stamp passports",0,0,0,0,0
10/30/2025,N248JP,FLHN,FYWE,3.5,C208,1,0,no landing permission in South Africa!,0,0,0,0,0
10/30/2025,N248JP,FLPL,FLHN,1.3,C208,1,0,,0,0,0,0,0
10/27/2025,N248JP,FLKK,FLPL,1.3,C208,1,0,,0,0,0,0,0
10/27/2025,N248JP,HTGW,FLKK,3,C208,1,0,,0,0,0,0,0
10/26/2025,N248JP,HTML,HTGW,2,C208,1,0,climb out down the lake,0,0,0,0,0
10/23/2025,N248JP,HTDO,HTML,2.2,C208,1,0,,0,0,0,0,0
10/23/2025,N248JP,HTWB,HTDO,1.3,C208,1,0,,0,0,0,0,0
10/20/2025,N248JP,HTKJ,HTWB,1,C208,1,0,,0,0,0,0,0
10/20/2025,N248JP,HKNW,HTKJ,1,C208,1,0,,0,0,0,0,0
10/18/2025,N248JP,HKNL,HKNW,0.8,C208,1,0,,0,0,0,0,0
10/12/2025,N248JP,HKNW,HKNL,0.8,C208,1,0,,0,0,0,0,0
10/11/2025,N248JP,HTKJ,HKNW,1,C208,1,0,,0,0,0,0,0
10/11/2025,N248JP,HTMR,HTKJ,1.9,C208,1,0,,0,0,0,0,0
10/9/2025,N248JP,HTGW,HTMR,1,C208,1,0,,0,0,0,0,0
10/8/2025,N248JP,FVRG,HTGW,3.5,C208,1,0,,0,0,0,0,0
10/8/2025,N248JP,FVDV,FVRG,1,C208,1,0,close call with N717MZ,0,0,0,0,0
10/6/2025,N248JP,FVJN,FVDV,1.4,C208,1,0,landed at twilight,0,0,0,0,0
9/23/2025,N824MZ,KHLN,KBFI,2,AEST,1,0,,0,0,0,0,0
9/23/2025,N824MZ,KPIR,KHLN,2.5,AEST,1,0,,0,0,0,0,0
9/23/2025,N824MZ,KCID,KPIR,2,AEST,1,0,,0,0,0,0,0
9/22/2025,N824MZ,KPWK,KCID,1.1,AEST,1,1,CID ILS-27,0,0.4,0,0,0
9/18/2025,N824MZ,KCHT,KPWK,1.7,AEST,1,0,"deviate east owing to clouds, rain",0,0,0,0,0
9/18/2025,N824MZ,KBKX,KCHT,1.7,AEST,1,0,"low clouds, rain",0,0,0,0,0
9/17/2025,N824MZ,KDLT,KBKX,1.2,AEST,1,0,,0,0,0,0,0
9/16/2025,N824MZ,KBIS,KDTL,1,AEST,1,0,,0,0,0,0,0
9/16/2025,N824MZ,KCOE,KBIS,3,AEST,1,0,,0,0,0,0,0
9/15/2025,N4242G,KPAE,KPAE,0.7,8KCAB,3,0,,0,0,0,0,0
8/27/2025,N824MZ,KBFI,KCOE,1.4,AEST,1,0,"IFR to COE, light ice at FL190",0,0.5,0,0,0
8/27/2025,N824MZ,KBFI,KBFI,0.5,AEST,1,0,"depart BFI for COE, turn back owing to clouds",0,0,0,0,0
8/24/2025,N824MZ,CYYJ,KBFI,1,AEST,2,0,clear customs at BLI,0,0,0,0,0
8/24/2025,N824MZ,KBFI,CYYJ,0.6,AEST,1,0,,0,0,0,0,0
8/18/2025,N824MZ,KGEG,KBFI,1.3,AEST,1,0,,0,0,0,0,0
8/18/2025,N824MZ,KBFI,KGEG,1.2,AEST,1,0,,0,0.2,0,0,0
